A,B,C,mu,alpha,homo,lumo,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,gap
157.7118,157.70997,157.70699,0.0,13.21,-0.3877,0.1171,35.3641,0.044749,-40.47893,-40.476062,-40.475117,-40.498597,6.469,-395.999594594,-398.643290011,-401.014646522,-372.471772148,0.5048
293.60975,293.54111,191.39397,1.6256,9.46,-0.257,0.0829,26.1563,0.034358,-56.525887,-56.523026,-56.522082,-56.544961,6.316,-276.861363363,-278.62027109,-280.399259105,-259.338802047,0.3399
799.58812,437.90386,282.94545,1.8511,6.31,-0.2928,0.0687,19.0002,0.021375,-76.404702,-76.401867,-76.400922,-76.422349,6.002,-213.087623693,-213.97429391,-215.159658411,-201.407171167,0.3615
0.0,35.6100361,35.6100361,0.0,16.28,-0.2845,0.0506,59.5248,0.026841,-77.308427,-77.305527,-77.304583,-77.327429,8.574,-385.501996533,-387.237686427,-389.016046933,-365.800723969,0.3351
0.0,44.593883,44.593883,2.8937,12.99,-0.3604,0.0191,48.7476,0.016601,-93.411888,-93.40937,-93.408425,-93.431246,6.278,-301.820533838,-302.906751917,-304.091488909,-288.720028445,0.3796
285.48839,38.9823,34.29892,2.1089,14.18,-0.267,-0.0406,59.9891,0.026603,-114.483613,-114.480746,-114.479802,-114.505268,6.413,-358.756935444,-360.512705626,-362.291066132,-340.464420585,0.2263
80.46225,19.90649,19.90633,0.0,23.95,-0.3385,0.1041,109.5031,0.074542,-79.764152,-79.760666,-79.759722,-79.787269,10.098,-670.78829573,-675.710476326,-679.860820852,-626.927299157,0.4426
127.83497,24.85872,23.97872,1.5258,16.97,-0.2653,0.0784,83.794,0.051208,-115.679136,-115.675816,-115.674872,-115.701876,8.751,-481.106757737,-484.35537183,-487.319724346,-450.124128371,0.3437
160.28041,8.59323,8.59321,0.7156,28.78,-0.2609,0.0613,177.1963,0.05541,-116.609549,-116.60555,-116.604606,-116.633775,12.482,-670.268090769,-673.980434013,-677.537155025,-631.346845044,0.3222
159.03567,9.22327,9.22324,3.8266,24.45,-0.3264,0.0376,160.7223,0.045286,-132.71815,-132.714563,-132.713619,-132.742149,10.287,-589.812024334,-592.893721033,-595.85744604,-557.125708033,0.364
57.22434,10.11122,9.07368,2.5682,25.11,-0.254,-0.0198,166.9728,0.055355,-153.787612,-153.783728,-153.782784,-153.812518,11.219,-645.328373073,-649.112252343,-652.668973355,-606.577809796,0.2342
73.8472,11.34793,9.83639,3.7286,21.57,-0.2543,0.0302,145.3078,0.045279,-169.860788,-169.856903,-169.855958,-169.885594,10.89,-542.642800313,-545.536871821,-548.499969319,-510.206860103,0.2845
29.45018,8.37701,7.42076,0.0597,34.75,-0.323,0.0949,227.1361,0.103182,-119.052475,-119.047927,-119.046983,-119.078157,14.84,-947.522902275,-954.444954054,-960.373659086,-882.77338611,0.4179
35.09545,9.3686,8.1497,1.4131,27.87,-0.2619,0.0798,193.1659,0.079754,-154.972731,-154.968412,-154.967467,-154.998148,13.546,-761.14959173,-766.437610073,-771.179695586,-709.34872378,0.3417
39.37691,10.04033,8.90353,1.1502,28.13,-0.2525,0.091,187.1015,0.079534,-154.960361,-154.956045,-154.9551,-154.985747,12.934,-753.3873054,-758.67720627,-763.419291783,-701.566984671,0.3435
20.15852,20.15302,12.5891,0.0005,30.82,-0.2888,0.1042,155.8145,0.081231,-117.824798,-117.821426,-117.820482,-117.849087,11.041,-804.996155596,-810.879052471,-815.621765493,-752.743481166,0.393
25.77385,22.12109,14.18066,1.7675,24.04,-0.2682,0.1042,129.891,0.057289,-153.742562,-153.73941,-153.738466,-153.766642,9.176,-617.059092623,-621.302308481,-624.859029493,-577.790206912,0.3724
10.12193,8.49011,4.89615,2.7362,35.53,-0.2431,-0.0087,292.4367,0.083382,-193.08834,-193.082969,-193.082024,-193.116476,16.893,-929.847228763,-935.364287891,-940.6987419,-870.625439379,0.2344
10.78886,9.27509,5.14977,3.6367,31.83,-0.2436,0.0347,267.6148,0.07319,-209.159302,-209.15402,-209.153076,-209.187468,16.561,-825.772351077,-830.456078253,-835.198163766,-772.94676093,0.2783
11.1475,10.36388,5.42091,3.4869,28.07,-0.2495,0.0556,244.2308,0.063824,-225.221461,-225.217075,-225.216131,-225.247724,15.292,-716.173511664,-720.530306651,-724.679396159,-668.531145857,0.3051
7.75166,7.74847,4.48668,0.0897,45.46,-0.3167,0.0843,355.0621,0.131146,-158.342346,-158.336603,-158.335658,-158.370016,20.273,-1225.228892752,-1234.067357017,-1241.773795046,-1139.228784302,0.401
8.67553,8.00568,4.75542,1.4259,38.58,-0.2612,0.074,318.3721,0.107673,-194.267232,-194.261748,-194.260804,-194.294663,19.052,-1041.760948877,-1048.984204976,-1055.505278504,-968.725803876,0.3351
0.0,4.4259726,4.4259726,0.0,38.52,-0.2599,-0.0214,278.6264,0.037354,-153.459846,-153.455442,-153.454498,-153.482621,15.312,-672.822679908,-675.392956772,-678.35605427,-637.234761991,0.2386
0.0,4.5793222,4.5793222,3.792,32.66,-0.3102,-0.0543,260.1896,0.027259,-169.557758,-169.553764,-169.55282,-169.581024,12.93,-585.659169772,-587.597545073,-589.967646566,-556.756732741,0.2559
0.0,4.73269,4.73269,0.0023,27.7,-0.3696,-0.0926,242.9308,0.015951,-185.648533,-185.644825,-185.64388,-185.667652,10.398,-494.017127903,-495.245790525,-497.022268504,-468.889785016,0.277
68.5171,4.8345,4.51586,2.7824,31.14,-0.2777,-0.0735,268.3921,0.037208,-190.624631,-190.620363,-190.619419,-190.650543,13.049,-639.55089771,-642.205888289,-645.168985787,-605.675451854,0.2042
67.88408,5.00823,4.66413,2.3112,26.25,-0.3166,-0.11,251.0007,0.02654,-206.721858,-206.717875,-206.716931,-206.747625,11.329,-551.957543909,-553.9021943,-556.272295793,-524.368483215,0.2066
56.25048,4.77441,4.40088,0.002,26.12,-0.2668,-0.1113,266.8164,0.036943,-227.798785,-227.79457,-227.793626,-227.825074,12.147,-612.158247333,-614.84586838,-617.808965878,-578.263348698,0.1555
80.28766,3.3688,3.3688,0.0,42.32,-0.2412,0.0684,400.2236,0.083896,-155.908941,-155.90318,-155.902236,-155.937641,17.447,-953.948594435,-959.221552562,-964.55663408,-895.336743799,0.3096
27.39459,4.53005,4.08342,0.7067,40.09,-0.2592,0.0566,333.9589,0.084338,-155.897345,-155.892291,-155.891347,-155.924226,17.13,-946.672000071,-952.388607061,-957.723688579,-886.918710564,0.3157
