PCT_INHB_DD2,pXC50_3D7
24.0,6.09857
60.0,6.00393
74.0,6.79958
4.0,5.96201
95.0,6.44885
98.0,6.12396
76.0,6.09866
90.0,6.1111
10.0,6.12581
5.0,6.06405
23.0,6.03322
97.0,6.22981
46.0,5.92355
85.0,6.45464
82.0,7.19707
51.0,6.04221
25.0,6.1582
91.0,6.7334
52.0,6.02596
99.0,6.97206
97.0,6.50118
91.0,6.10162
25.0,6.36467
37.0,5.97915
15.0,6.08427
95.0,6.03595
6.0,5.80898
28.0,6.22351
67.0,6.05651
3.0,6.13397
87.0,6.27295
63.0,6.6376
26.0,5.89684
99.0,7.07782
68.0,6.06949
100.0,6.68951
87.0,6.0873
37.0,6.35669
93.0,6.03635
0.0,6.72355
34.0,5.8883
90.0,6.16779
86.0,6.80902
5.0,6.77702
0.0,8.06976
0.0,6.73824
46.0,6.19596
23.0,5.99879
95.0,6.67376
97.0,6.09553
88.0,6.13875
19.0,5.9384
64.0,6.48168
59.0,6.09625
38.0,6.15665
65.0,5.97012
10.0,5.99599
78.0,6.54514
28.0,5.97647
95.0,6.02669
87.0,6.02543
98.0,6.41946
99.0,6.16067
1.0,6.71562
86.0,6.15979
88.0,6.45974
59.0,6.75326
92.0,6.17245
20.0,6.063
21.0,5.9239
74.0,6.08227
0.0,6.05982
70.0,6.29045
32.0,5.78808
0.0,6.60342
91.0,6.0692
34.0,5.97648
99.0,6.25229
99.0,6.70631
56.0,6.13241
91.0,6.85392
45.0,6.06119
45.0,6.02345
72.0,6.17323
97.0,5.86602
100.0,6.26564
74.0,5.99504
63.0,5.9719
74.0,6.11693
81.0,5.98248
9.0,6.09553
58.0,6.7314
48.0,6.04953
9.0,6.04925
94.0,6.15847
43.0,6.01719
100.0,6.22812
99.0,6.22998
61.0,6.2161
96.0,6.23047
74.0,6.27457
95.0,6.07347
100.0,6.55719
5.0,5.96205
97.0,6.1941
72.0,6.11634
55.0,6.04695
54.0,6.02202
97.0,8.49485
98.0,6.06586
98.0,6.60771
3.0,5.74631
7.0,6.06257
100.0,7.04962
87.0,6.04825
62.0,6.1236
3.0,5.9259
29.0,6.18207
99.0,6.35383
9.0,5.89672
14.0,6.38676
67.0,5.99761
45.0,6.01917
9.0,5.90873
100.0,6.83993
83.0,6.11836
81.0,5.90263
90.0,6.16244
62.0,6.0501
100.0,6.13356
37.0,6.0231
37.0,6.11975
7.0,5.92724
100.0,6.35199
70.0,6.22872
97.0,7.23386
96.0,6.63099
97.0,6.56021
76.0,6.27529
73.0,6.60319
94.0,6.27163
73.0,6.73974
33.0,6.07956
7.0,6.14096
86.0,5.99072
83.0,6.04942
96.0,6.69467
51.0,6.18995
100.0,6.15457
61.0,6.18993
74.0,6.96259
82.0,5.93121
96.0,6.37764
